Model_Type,Epochs,Trial,Duration_Seconds,Accuracy,Test_Loss
simple_mlp,1,1,5.5106,95.02,0.1658
simple_mlp,1,2,5.0996,95.08,0.162
simple_mlp,1,3,5.1555,95.16,0.162
simple_mlp,2,1,10.0242,96.72,0.1067
simple_mlp,2,2,9.9309,96.8,0.1065
simple_mlp,2,3,10.1077,96.97,0.1002
simple_mlp,3,1,15.2075,97.48,0.0847
simple_mlp,3,2,15.0703,97.62,0.0786
simple_mlp,3,3,15.1514,97.64,0.0799
simple_mlp,4,1,20.1873,97.64,0.0732
simple_mlp,4,2,20.3942,97.8,0.0723
simple_mlp,4,3,20.343,97.72,0.0739
simple_mlp,5,1,25.487,97.82,0.0698
simple_mlp,5,2,25.2784,97.68,0.0711
simple_mlp,5,3,25.6007,97.8,0.0706
simple_mlp,6,1,31.3157,97.98,0.0645
simple_mlp,6,2,30.742,97.98,0.0632
simple_mlp,6,3,30.3796,98.04,0.0642
simple_mlp,7,1,35.5722,97.98,0.0648
simple_mlp,7,2,35.2867,98.07,0.066
simple_mlp,7,3,35.1632,97.93,0.0688
simple_mlp,8,1,40.092,97.91,0.0677
simple_mlp,8,2,40.7239,98.08,0.0623
simple_mlp,8,3,40.1963,97.91,0.0621
simple_mlp,9,1,45.5977,98.01,0.0659
simple_mlp,9,2,45.2507,98.13,0.063
simple_mlp,9,3,44.8876,97.95,0.0671
simple_mlp,10,1,49.9038,98.09,0.0671
simple_mlp,10,2,50.1085,97.99,0.0645
simple_mlp,10,3,49.8672,98.15,0.0655
simple_cnn,1,1,5.7773,98.25,0.0535
simple_cnn,1,2,5.2558,97.84,0.0679
simple_cnn,1,3,5.2567,98.06,0.0566
simple_cnn,2,1,10.4823,98.7,0.0366
simple_cnn,2,2,10.5267,98.43,0.0466
simple_cnn,2,3,10.6194,98.57,0.0431
simple_cnn,3,1,15.7999,98.8,0.037
simple_cnn,3,2,16.1319,98.55,0.0433
simple_cnn,3,3,15.9883,98.78,0.036
simple_cnn,4,1,21.2491,98.82,0.0352
simple_cnn,4,2,21.0835,98.89,0.0384
simple_cnn,4,3,21.1187,98.78,0.0372
simple_cnn,5,1,26.7085,98.92,0.0318
simple_cnn,5,2,26.8499,98.74,0.0413
simple_cnn,5,3,26.177,98.96,0.0336
simple_cnn,6,1,31.6791,98.84,0.0373
simple_cnn,6,2,31.9972,98.94,0.0408
simple_cnn,6,3,32.0387,98.82,0.0377
simple_cnn,7,1,37.2784,98.58,0.049
simple_cnn,7,2,36.965,98.95,0.0338
simple_cnn,7,3,37.3618,99.09,0.0363
simple_cnn,8,1,42.4787,98.92,0.0429
simple_cnn,8,2,42.1308,99.13,0.033
simple_cnn,8,3,42.5385,98.79,0.0433
simple_cnn,9,1,48.0997,98.8,0.0415
simple_cnn,9,2,47.4088,98.85,0.0408
simple_cnn,9,3,47.9417,99.03,0.0374
simple_cnn,10,1,52.9236,98.94,0.04
simple_cnn,10,2,53.2755,98.8,0.0493
simple_cnn,10,3,52.7279,98.96,0.0361
robust_cnn,1,1,8.1123,98.29,0.0533
robust_cnn,1,2,7.7482,98.36,0.0507
robust_cnn,1,3,7.781,98.32,0.0571
robust_cnn,2,1,15.4347,98.41,0.0502
robust_cnn,2,2,15.4331,98.51,0.0423
robust_cnn,2,3,15.416,98.72,0.0409
robust_cnn,3,1,23.1369,98.68,0.04
robust_cnn,3,2,23.6086,98.76,0.0388
robust_cnn,3,3,23.588,98.8,0.0385
robust_cnn,4,1,31.3758,98.81,0.0349
robust_cnn,4,2,31.4469,98.72,0.0412
robust_cnn,4,3,30.9854,98.54,0.045
robust_cnn,5,1,38.8703,98.94,0.0307
robust_cnn,5,2,38.494,98.95,0.0308
robust_cnn,5,3,39.2313,98.86,0.0357
robust_cnn,6,1,46.6542,99.15,0.028
robust_cnn,6,2,46.8015,98.99,0.0314
robust_cnn,6,3,46.8987,98.71,0.0417
robust_cnn,7,1,54.7438,98.92,0.0322
robust_cnn,7,2,54.9317,98.95,0.0337
robust_cnn,7,3,54.5498,98.84,0.0363
robust_cnn,8,1,62.2782,99.16,0.0257
robust_cnn,8,2,62.3196,98.99,0.0332
robust_cnn,8,3,62.131,99.0,0.0317
robust_cnn,9,1,70.1192,99.17,0.0275
robust_cnn,9,2,69.8421,98.9,0.0349
robust_cnn,9,3,70.4827,99.12,0.0253
robust_cnn,10,1,77.4793,99.14,0.029
robust_cnn,10,2,78.2014,99.14,0.0268
robust_cnn,10,3,77.9351,98.9,0.0316
